LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1979,Ljubljana,IBM,IBM 3031,,1,e,lasten,RS Notranje zadeve Ljubljana,MNZ/01
1979,Maribor,IBM,IBM 370/115,,1,e,lasten,MTT Mariborska tekstilna tovarna Maribor,PKZ/01
1979,Ljubljana,DELTA,DELTA 700,,1,e,lasten,"Tekstil, Ljubljana",79/15
1979,Ljubljana,DELTA,DELTA 700/80,,1,e,lasten,Skupščina mestne občine Ljubljana + RS Notranje zadeve Ljubljana + JLA,79/20
1979,Maribor,DELTA,DELTA 340/40,,1,e,lasten,VTŠ Višja tehniška šola Maribor,"79/13, 80/04, 85/01, PKZ/01"
1979,Maribor,ISKRADATA,ISKRADATA C 18-20,,1,e,lasten,VTŠ Višja tehniška šola Maribor + TAM Maribor + Konstruktor + Gradis Maribor + Tehniška šola Celje + Vodno gospodarstvo + Elkom Maribor,"79/13, 80/04, 85/01"
1979,Bled,ISKRADATA,ISKRADATA C 18-20,,1,e,lasten,LIP Bled,82/03
1979,Žalec,ISKRADATA,ISKRADATA C 18-20,,1,e,lasten,KK Žalec-Hmezad,81/01
1980,Ptuj,DELTA,DELTA 340/80,,1,e,lasten,Agis Ptuj,"79/10, 80/06"
1980,Ilirska Bistrica,DELTA,DELTA 700/80,,1,e,lasten,Lesonit Ilirska Bistrica,82/04
1980,Maribor,DELTA,DELTA 340/80,,1,e,lasten,TAM Maribor,84/39
1980,Ljubljana,DELTA,DELTA 700,,1,e,lasten,UE Mestna občina Ljubljana,82/49
1980,Ljubljana,IBM,IBM 3031,,1,e,lasten,RZS Regionalna zdravstvena skupnost Ljubljana,SDMI/03
1980,,neznan,100x neznan,,,t,terminal,,
